image,agriculture,clear,cloudy,primary,road,shifting,water,partly_cloudy,haze,habitation,slash_burn,cultivation,blooming,bare_ground,selective_logging,conventional_mine,artisinal_mine,blow_down
train_0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
train_6,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
train_7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_8,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_9,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
train_10,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
train_11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_20,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_21,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_27,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
train_28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_29,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_30,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_31,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_32,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_33,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
train_34,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_36,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
